com.samsung.health.food_info,6272009,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,,0.0,"89 kcal, per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2020-12-08 18:26:46.689,2020-12-08 18:26:46.689,0.038,1.29,0.086,2.0,Banana,14.43,,1.0,105.0,medium (7" to 7-7/8" long),,5vLahzXBCy,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,8047ed54-3275-4357-8555-c1ae6d9449a8,1,
292.0,20.0,26.0,,0.0,"18 kcal, per 100g",,default-fatsecret-6138,123,6.0,1.5,0.25,2020-12-08 18:26:46.691,2020-12-08 18:26:46.691,0.063,1.08,0.166,2.0,Tomatoes,3.23,,1.0,22.0,medium whole (2-3/5" dia),,5vLahzXBCy,g,0.057,,com.sec.android.app.shealth,4.82,5.6875,97cad679-d67a-4385-9526-42fe6535ed5a,1,
148.0,2.0,10.0,,0.0,"52 kcal, per 100g",,default-fatsecret-35718,138,1.0,3.3,0.23,2020-12-08 18:26:46.694,2020-12-08 18:26:46.694,0.01,0.36,0.07,1.0,Apples,14.34,,1.0,72.0,medium (2-3/4" dia) (approx 3 per lb),,5vLahzXBCy,g,0.039,,com.sec.android.app.shealth,19.06,1.9230769,b24d7595-9a20-4bd3-aef1-4d11cbb1d265,1,
67.0,6.0,0.0,,210.0,"102 kcal, per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2020-12-08 18:26:46.695,2020-12-08 18:26:46.695,2.754,6.24,1.214,5.0,Fried Egg,0.38,,3.0,89.0,large,,5vLahzXBCy,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,2c0ca732-ad4e-47b9-a50a-1103a330cd61,1,
204.0,2.0,0.0,,70.0,"197 kcal, per 101g",,default-fatsecret-1641,84,330.0,0.0,6.48,2020-12-08 18:26:46.698,2020-12-08 18:26:46.698,2.524,24.82,1.383,5.0,Chicken Breast,0.0,,1.0,164.0,"small breast (yield after cooking, bone removed)",,5vLahzXBCy,g,1.824,,com.sec.android.app.shealth,0.0,0.5121951,77402abf-0baf-41d0-a205-54adad46b08d,1,
55.0,0.0,0.0,,0.0,"206 kcal, per 160g",,default-fatsecret-4501,158,577.0,0.6,0.44,2020-12-08 18:26:46.701,2020-12-08 18:26:46.701,0.138,4.2,0.119,10.0,White Rice,0.08,,2.0,204.0,"cup, cooked",,5vLahzXBCy,g,0.12,,com.sec.android.app.shealth,44.08,0.7745098,7b1c7c61-61ba-4a85-9cb2-9a7d86cedd8c,1,
111.0,0.0,0.0,,0.0,"1 kcal, per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2020-12-08 18:26:46.703,2020-12-08 18:26:46.703,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,5vLahzXBCy,g,0.005,,com.sec.android.app.shealth,0.09,88.5,c3f56298-eb97-4844-bf08-345635d32a82,1,
60.0,0.0,0.0,,0.0,"30 kcal, per 175g",,default-fatsecret-2479604,177,6.0,0.0,0.14,2020-12-08 18:26:46.705,2020-12-08 18:26:46.705,0.033,0.31,0.011,0.0,Coffee with Milk and Sugar,6.54,,0.0,30.0,coffee cup (6 fl oz),,5vLahzXBCy,g,0.079,,com.sec.android.app.shealth,7.14,5.92,79cdacd3-a2fb-47e9-a008-c36a17887982,1,
366.0,10.0,0.0,,12.0,"42 kcal, per 100g",,default-fatsecret-803,244,107.0,0.0,2.37,2020-12-08 18:26:46.708,2020-12-08 18:26:46.708,0.676,8.22,0.085,0.0,1% Fat Milk,12.69,,29.0,102.0,cup,,5vLahzXBCy,g,1.545,,com.sec.android.app.shealth,12.18,2.3921568,1096875b-faeb-47e7-8c0d-f3d97e8fb56b,1,
0.0,0.0,0.0,,0.0,"0 kcal, per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2020-12-08 18:26:46.709,2020-12-08 18:26:46.709,0.0,0.0,0.0,0.0,Water,0.0,,0.0,0.0,cup (8 fl oz),,5vLahzXBCy,g,0.0,,com.sec.android.app.shealth,0.0,,0333559d-5552-4aa5-825b-77437e39d520,1,
