com.samsung.shealth.cycle.daily_temperature.raw,6272009,1
start_time,custom,hr_rri,update_time,create_time,temperature,time_offset,deviceuuid,pkg_name,end_time,datauuid
2024-01-09 06:23:00.000,,2a352c28-d139-48ca-a06d-266538edf5cf.hr_rri.json,2024-01-09 11:59:44.767,2024-01-09 11:59:44.767,2a352c28-d139-48ca-a06d-266538edf5cf.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-09 11:59:00.000,2a352c28-d139-48ca-a06d-266538edf5cf,
2024-01-14 07:14:00.000,,e79921b4-b161-4fdb-b1b7-3f895b558aeb.hr_rri.json,2024-01-14 12:27:19.401,2024-01-14 12:27:19.401,e79921b4-b161-4fdb-b1b7-3f895b558aeb.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-14 12:01:00.000,e79921b4-b161-4fdb-b1b7-3f895b558aeb,
2024-01-14 13:21:00.000,,27b17399-1f10-4b2a-aee4-ceef3f398e0a.hr_rri.json,2024-01-14 16:22:09.519,2024-01-14 16:22:09.519,27b17399-1f10-4b2a-aee4-ceef3f398e0a.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-14 16:22:00.000,27b17399-1f10-4b2a-aee4-ceef3f398e0a,
2024-01-14 16:32:00.000,,4a097779-46c0-4fa6-9aec-ebc1230ef690.hr_rri.json,2024-01-14 18:31:24.522,2024-01-14 18:31:24.522,4a097779-46c0-4fa6-9aec-ebc1230ef690.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-14 18:06:00.000,4a097779-46c0-4fa6-9aec-ebc1230ef690,
2024-01-15 09:00:00.000,,d1c4b3da-cafd-42c7-bd2b-5595b43d7dbd.hr_rri.json,2024-01-15 14:02:45.333,2024-01-15 14:02:45.333,d1c4b3da-cafd-42c7-bd2b-5595b43d7dbd.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-15 13:35:00.000,d1c4b3da-cafd-42c7-bd2b-5595b43d7dbd,
2024-01-15 15:47:00.000,,86bb950b-5145-4fbd-8a5f-8098668b498f.hr_rri.json,2024-01-15 17:20:46.384,2024-01-15 17:20:46.384,86bb950b-5145-4fbd-8a5f-8098668b498f.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-15 17:13:00.000,86bb950b-5145-4fbd-8a5f-8098668b498f,
2024-01-18 04:37:00.000,,935b381e-0e08-4255-8787-8031da7f9a6a.hr_rri.json,2024-01-18 12:08:48.254,2024-01-18 12:08:48.254,935b381e-0e08-4255-8787-8031da7f9a6a.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-18 12:03:00.000,935b381e-0e08-4255-8787-8031da7f9a6a,
2024-01-24 07:15:00.000,,95999640-02a2-4091-a6cf-2cea672a4e0a.hr_rri.json,2024-01-24 10:54:31.329,2024-01-24 10:54:31.329,95999640-02a2-4091-a6cf-2cea672a4e0a.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-24 10:44:00.000,95999640-02a2-4091-a6cf-2cea672a4e0a,
2024-01-25 07:53:00.000,,54bac783-a3df-47ea-98f6-fa04499dd4a3.hr_rri.json,2024-01-25 12:01:01.547,2024-01-25 12:01:01.547,54bac783-a3df-47ea-98f6-fa04499dd4a3.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-25 12:01:00.000,54bac783-a3df-47ea-98f6-fa04499dd4a3,
2024-01-29 07:27:00.000,,ac4d497e-ead4-42f1-847e-c4f0dcccfaa4.hr_rri.json,2024-01-29 09:19:08.772,2024-01-29 09:19:08.772,ac4d497e-ead4-42f1-847e-c4f0dcccfaa4.temperature.json,UTC-0500,PZSgGx/3oA,com.sec.android.app.shealth,2024-01-29 08:50:00.000,ac4d497e-ead4-42f1-847e-c4f0dcccfaa4,
