com.samsung.shealth.report,6272009,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1607230800000,2020-12-14 18:46:29.713,2020-12-13 18:46:12.828,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,adc867fe-7685-4342-9352-581bcf170d44,adc867fe-7685-4342-9352-581bcf170d44.compressed_content.json,
America/Toronto,1607835600000,2020-12-21 18:53:38.397,2020-12-20 18:45:47.715,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,858287ee-2747-4310-933c-efa36f6fe9f3,858287ee-2747-4310-933c-efa36f6fe9f3.compressed_content.json,
America/Toronto,1608440400000,2020-12-30 18:46:00.750,2020-12-29 18:46:21.390,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,ffa162ce-ec90-4ee3-be59-d4d4f0d9d813,ffa162ce-ec90-4ee3-be59-d4d4f0d9d813.compressed_content.json,
America/Toronto,1609045200000,2021-01-04 19:03:27.711,2021-01-03 18:46:00.975,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,66b508c2-57ef-448b-be27-4d02a833ca87,66b508c2-57ef-448b-be27-4d02a833ca87.compressed_content.json,
America/Toronto,1609650000000,2021-01-10 18:49:22.342,2021-01-10 18:49:21.511,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,3e1079d7-8edc-486e-9f61-b44c6fce4b3c,3e1079d7-8edc-486e-9f61-b44c6fce4b3c.compressed_content.json,
America/Toronto,1610254800000,2021-01-20 18:54:43.088,2021-01-20 18:54:42.205,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,60f28aa2-e933-48b5-9564-f33a6fcf7f81,60f28aa2-e933-48b5-9564-f33a6fcf7f81.compressed_content.json,
America/Toronto,1610859600000,2021-01-24 18:46:03.253,2021-01-24 18:46:02.571,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,e3cd6521-6da6-4d28-b786-dc4ade306e93,e3cd6521-6da6-4d28-b786-dc4ade306e93.compressed_content.json,
America/Toronto,1611464400000,2021-01-31 18:46:08.200,2021-01-31 18:46:07.812,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,d1fed3fd-a3e1-43f6-88a2-bca348ce7f63,d1fed3fd-a3e1-43f6-88a2-bca348ce7f63.compressed_content.json,
America/Toronto,1612069200000,2021-02-07 18:48:20.792,2021-02-07 18:48:20.244,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,38a8ee06-d51d-4e68-85ca-89ce9c5fc237,38a8ee06-d51d-4e68-85ca-89ce9c5fc237.compressed_content.json,
America/Toronto,1612674000000,2021-02-14 18:46:57.274,2021-02-14 18:46:56.730,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,332dcf4c-20ed-4a4e-a597-e1ff3d6fcd33,332dcf4c-20ed-4a4e-a597-e1ff3d6fcd33.compressed_content.json,
America/Toronto,1613278800000,2021-02-21 18:46:02.497,2021-02-21 18:46:00.413,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,a98802b9-baeb-4c6b-9622-5b2795fd234c,a98802b9-baeb-4c6b-9622-5b2795fd234c.compressed_content.json,
America/Toronto,1613883600000,2021-02-28 18:46:17.094,2021-02-28 18:46:16.641,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,f6cbf40f-947a-4adc-858f-296f729f39d0,f6cbf40f-947a-4adc-858f-296f729f39d0.compressed_content.json,
America/Toronto,1614488400000,2021-03-07 18:45:51.532,2021-03-07 18:45:51.099,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,79728071-7a4a-40ec-ae2b-f779e99274fa,79728071-7a4a-40ec-ae2b-f779e99274fa.compressed_content.json,
America/Toronto,1615093200000,2021-03-14 17:49:41.378,2021-03-14 17:49:40.746,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,d0a03ad1-e33a-47eb-958e-cdac94c6a30c,d0a03ad1-e33a-47eb-958e-cdac94c6a30c.compressed_content.json,
America/Toronto,1615698000000,2021-03-26 17:47:15.294,2021-03-26 17:47:14.679,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,2ff7f27b-bf64-4512-b3cc-2715191634db,2ff7f27b-bf64-4512-b3cc-2715191634db.compressed_content.json,
America/Toronto,1616299200000,2021-03-28 17:46:41.599,2021-03-28 17:46:40.943,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,500bcca4-e8f1-494d-b2f8-a85d08c7357d,500bcca4-e8f1-494d-b2f8-a85d08c7357d.compressed_content.json,
America/Toronto,1616904000000,2021-04-04 17:47:19.670,2021-04-04 17:47:19.016,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,c4dd8ede-1bf4-4837-a5a7-2f713889b715,c4dd8ede-1bf4-4837-a5a7-2f713889b715.compressed_content.json,
America/Toronto,1617508800000,2021-04-11 17:59:27.579,2021-04-11 17:59:27.012,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,77c8959f-1317-4763-9826-c36cd63b965c,77c8959f-1317-4763-9826-c36cd63b965c.compressed_content.json,
America/Toronto,1618113600000,2021-04-18 19:03:47.270,2021-04-18 19:03:45.863,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,8ebc8dff-fcc2-44c4-8207-8619ad7fca57,8ebc8dff-fcc2-44c4-8207-8619ad7fca57.compressed_content.json,
America/Toronto,1618718400000,2021-04-25 18:19:09.639,2021-04-25 18:19:08.129,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,1b7317ed-f732-407b-8c97-5d00bcf2871a,1b7317ed-f732-407b-8c97-5d00bcf2871a.compressed_content.json,
America/Toronto,1619323200000,2021-05-03 17:45:46.336,2021-05-03 17:45:45.752,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,2c11f5da-488f-4466-8ea5-b8449193d8ae,2c11f5da-488f-4466-8ea5-b8449193d8ae.compressed_content.json,
America/Toronto,1619928000000,2021-05-09 17:45:48.528,2021-05-09 17:45:46.750,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,e57661e3-649a-4f0a-aa56-c1dfd29b78fc,e57661e3-649a-4f0a-aa56-c1dfd29b78fc.compressed_content.json,
America/Toronto,1620532800000,2021-05-17 17:46:28.021,2021-05-17 17:46:27.777,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,08cbcaa9-3fa7-42ca-83d9-3defbbb62881,08cbcaa9-3fa7-42ca-83d9-3defbbb62881.compressed_content.json,
America/Toronto,1621137600000,2021-05-23 17:48:51.815,2021-05-23 17:48:51.231,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,5c3b1404-e3fd-4d19-acd8-6cae549c17fe,5c3b1404-e3fd-4d19-acd8-6cae549c17fe.compressed_content.json,
America/Toronto,1621742400000,2021-05-30 20:05:07.724,2021-05-30 20:05:07.305,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,3049a4a4-2e0f-4e2e-b120-3db5a8d01351,3049a4a4-2e0f-4e2e-b120-3db5a8d01351.compressed_content.json,
America/Toronto,1622347200000,2021-06-06 17:46:51.347,2021-06-06 17:46:50.874,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,b4de9ebe-c50e-4ddb-a5bb-686d611163b5,b4de9ebe-c50e-4ddb-a5bb-686d611163b5.compressed_content.json,
America/Toronto,1622952000000,2021-06-13 17:46:42.738,2021-06-13 17:46:42.223,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,5a1cc41b-4d3a-4694-9f4f-13f37e67c5f7,5a1cc41b-4d3a-4694-9f4f-13f37e67c5f7.compressed_content.json,
America/Toronto,1623556800000,2021-06-20 17:50:23.654,2021-06-20 17:50:23.062,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,e7e18921-10d7-4749-a456-58d05fb17c1d,e7e18921-10d7-4749-a456-58d05fb17c1d.compressed_content.json,
America/Toronto,1624161600000,2021-06-27 18:33:01.919,2021-06-27 18:33:00.656,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,79b4e77a-7191-4a30-8cb2-32c34c9d760c,79b4e77a-7191-4a30-8cb2-32c34c9d760c.compressed_content.json,
America/Toronto,1624766400000,2021-07-04 17:46:31.106,2021-07-04 17:46:29.938,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,e15d6c3b-8936-4c9d-a80d-dd6657c50916,e15d6c3b-8936-4c9d-a80d-dd6657c50916.compressed_content.json,
America/Toronto,1625371200000,2021-07-11 17:46:03.554,2021-07-11 17:46:02.561,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,198924b4-2a67-4d1f-be70-81c085c38d7f,198924b4-2a67-4d1f-be70-81c085c38d7f.compressed_content.json,
America/Toronto,1625976000000,2021-07-18 17:49:23.853,2021-07-18 17:49:23.049,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,2dd7e15d-80e6-4430-9dfb-bddbb01bd750,2dd7e15d-80e6-4430-9dfb-bddbb01bd750.compressed_content.json,
America/Toronto,1626580800000,2021-07-25 18:17:24.851,2021-07-25 18:17:24.219,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,b858cd1f-b0bd-41e8-bf2a-c34e63a5a9a0,b858cd1f-b0bd-41e8-bf2a-c34e63a5a9a0.compressed_content.json,
