com.samsung.shealth.rewards,6272009,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,,,,,2023-02-09 15:26:09.703,2020-12-08 18:26:49.022,,,LAST_SLEEP_CHECKING_TIME,,,5vLahzXBCy,com.sec.android.app.shealth,Sleep.Goal.Temp,2023-02-09 05:00:00.000,3e089a0d-b261-47df-856a-c9466ada1fde,-10000,
,2021-06-06 19:07:53.476,,,,2021-06-19 19:41:46.431,2021-06-06 19:07:53.531,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":117,""mValue2"":60}",5vLahzXBCy,com.sec.android.app.shealth,goal.activity,2021-06-06 19:07:53.476,ad1c5349-a6dd-4532-8736-913aaa7ee661,0,
,2021-06-06 04:00:00.000,,10009,,2021-06-12 04:00:01.616,2021-06-06 19:19:55.042,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":11190}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-06-06 04:00:00.000,a099a64f-f39e-4cac-852b-61c19903f625,1,
,2021-06-07 01:20:10.432,,,,2021-06-07 01:20:10.455,2021-06-06 19:49:03.781,,,goal_activity_reward_most_active_day,UTC-0400,"{""mIsCompleted"":false,""mValue"":117,""mValue2"":0}",5vLahzXBCy,com.sec.android.app.shealth,goal.activity,2021-06-06 19:49:03.773,a444a195-5753-4e69-bd80-dea323403387,1,
,2021-06-06 04:00:00.000,,10009,,2021-06-07 04:00:01.226,2021-06-06 20:35:01.320,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":11190}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-06-06 04:00:00.000,a283f1da-2d67-466e-bde3-cb5ead2336ce,1,
,2021-06-19 19:41:46.396,,,,2021-06-27 20:41:00.559,2021-06-19 19:41:46.433,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":103,""mValue2"":60}",5vLahzXBCy,com.sec.android.app.shealth,goal.activity,2021-06-19 19:41:46.396,c57db78b-8f0e-454c-809e-71306e66e9f8,0,
,2021-06-19 04:00:00.000,,10009,,2021-06-25 04:00:05.029,2021-06-19 19:55:01.958,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9682}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-06-19 04:00:00.000,afd6b7de-9953-40c4-afb2-a89d92c3f421,1,
,2021-06-27 20:41:00.528,,,,2021-07-03 20:02:24.021,2021-06-27 20:41:00.563,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":77,""mValue2"":60}",5vLahzXBCy,com.sec.android.app.shealth,goal.activity,2021-06-27 20:41:00.528,f9e11cd6-a5d4-466f-bdfe-0a20ae8a05ed,0,
,2021-06-27 04:00:00.000,,10009,,2021-07-03 04:01:22.912,2021-06-27 20:56:33.305,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7055}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-06-27 04:00:00.000,0eec5105-4127-4d95-8014-feb12524df3c,1,
,2021-07-03 20:02:23.990,,,,2021-07-04 22:12:33.615,2021-07-03 20:02:24.026,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":105,""mValue2"":60}",5vLahzXBCy,com.sec.android.app.shealth,goal.activity,2021-07-03 20:02:23.990,b9258e52-6cbd-47cf-a2aa-8e5dd579b3c2,0,
