com.samsung.shealth.sleep,6272009,8
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,integrated_id,has_sleep_data,bedtime_detection_delay,wakeup_time_detection_delay,total_rem_duration,combined_id,sleep_type,sleep_latency,data_version,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,0.0,,,,,2022-11-24 06:20:00.000,,,2022-11-25 02:53:45.412,2022-11-25 02:53:45.412,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-11-24 12:00:00.000,defd06a9-e335-4afd-a80b-b29bf7d38d73,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,0.0,,,,,2023-02-02 04:10:00.000,,,2023-02-02 21:11:47.439,2023-02-02 21:11:47.439,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-02 11:50:00.000,c031eadd-a78a-4e43-8b8b-f99ed165b3b8,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,0.0,,,,,2023-02-05 07:50:00.000,,,2023-02-05 17:27:44.910,2023-02-05 17:27:44.910,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-05 17:10:00.000,849b5430-c456-4d24-af57-f2b520b97620,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,0.0,,,,,2023-02-07 04:30:00.000,,,2023-02-07 15:07:24.441,2023-02-07 15:07:24.441,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-07 11:00:00.000,dac7dfae-89b9-413d-9c83-34306ebaa62e,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,0.0,,,,,2023-02-09 04:30:00.000,,,2023-02-09 15:26:06.135,2023-02-09 15:26:06.135,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-09 12:00:00.000,3b33e33a-c82b-4218-ae0b-c6b1ec6804c7,
,70.0,0,20,0,0,0,63,0,0,0,0,,0,,,,,-1,,7,38.0,,0.0,,,,,755c6d23-3753-4f28-b538-5bb1baf819cb.extra_data.json,,0,,100.0,47,63,,62600630,2023-12-30 16:38:00.000,,62600630,2023-12-30 17:41:53.926,2023-12-30 17:41:44.721,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 17:41:00.000,755c6d23-3753-4f28-b538-5bb1baf819cb,
,75.0,0,12,0,0,0,80,46,0,0,9,,0,,,,,-1,,7,23.0,,0.0,,,,,915eacb7-a3d4-41fb-9865-5fad326391ec.extra_data.json,,1,,91.0,54,89,,62600630,2023-12-30 17:52:00.000,,62600630,2023-12-30 19:22:04.173,2023-12-30 19:22:00.017,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 19:21:00.000,915eacb7-a3d4-41fb-9865-5fad326391ec,
,73.0,34,34,0,2,8,142,92,0,6,0,,0,,,,,-1,,7,53.0,,10.0,,,,,edbe1ed3-38bf-4bd8-9eaf-93bd79e62722.extra_data.json,,1,,94.0,62,142,,62600630,2024-01-03 09:04:00.000,,62600630,2024-01-03 11:26:26.290,2024-01-03 11:26:19.577,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-03 11:26:00.000,edbe1ed3-38bf-4bd8-9eaf-93bd79e62722,
,70.0,0,18,0,0,17,78,0,0,13,0,,0,,,,,-1,,7,31.0,2024-01-03 20:38:00.000,38.0,,2024-01-03 19:08:00.000,,,a4a4e956-a9bf-4c74-952e-62a56948ebb2.extra_data.json,,0,,78.0,40,78,,62600630,2024-01-03 19:08:00.000,,62600630,2024-01-03 20:48:07.370,2024-01-03 20:48:04.307,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-03 20:26:00.000,a4a4e956-a9bf-4c74-952e-62a56948ebb2,
,70.0,0,35,0,0,3,95,0,0,0,5,,0,,,,,-1,,7,46.0,2024-01-08 11:20:00.000,3.0,,2024-01-08 09:24:00.000,,,d3fdef84-9fa6-4843-aa5e-185acdae07dd.extra_data.json,,0,,97.0,47,100,,62600630,2024-01-08 09:24:00.000,,62600630,2024-01-08 11:44:31.590,2024-01-08 11:44:19.948,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-08 11:04:00.000,d3fdef84-9fa6-4843-aa5e-185acdae07dd,
