com.samsung.shealth.stress,6272009,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62600630,2023-12-30 00:56:48.000,,,10000,62600630,2023-12-30 00:56:48.579,2023-12-30 00:56:48.579,,,100.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 00:56:48.000,8604a2ad-a6f9-41a2-9936-d2412535d139,
62600630,2024-01-09 21:05:45.000,,,10000,62600630,2024-01-09 21:05:45.206,2024-01-09 21:05:45.206,,,99.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-01-09 21:05:45.000,d8bbd58d-a998-4356-9342-ff2039c4acda,
62610110,2024-02-01 09:00:00.000,,6980dfe0-e84f-4de6-9de0-c34ccb0da218.binning_data.json,10011,62610110,2024-02-01 20:21:02.376,2024-02-01 09:44:22.535,90.0,3.0,23.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-01 09:59:59.999,6980dfe0-e84f-4de6-9de0-c34ccb0da218,
62610110,2024-02-01 20:00:00.000,,54a1494d-e9fb-46fa-9c21-99a060139cfb.binning_data.json,10011,62610110,2024-02-01 21:43:00.714,2024-02-01 21:43:00.714,94.0,7.0,41.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-01 20:59:59.999,54a1494d-e9fb-46fa-9c21-99a060139cfb,
62610110,2024-02-01 21:00:00.000,,46b24115-436c-47f6-bf0d-f2e9e3027a38.binning_data.json,10011,62610110,2024-02-01 22:11:57.681,2024-02-01 22:11:57.681,28.0,6.0,18.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-01 21:59:59.999,46b24115-436c-47f6-bf0d-f2e9e3027a38,
62610110,2024-02-01 22:00:00.000,,35d18c9d-66bf-4c83-a956-0b54e46014fd.binning_data.json,10011,62610110,2024-02-01 23:03:00.360,2024-02-01 23:03:00.360,100.0,2.0,26.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-01 22:59:59.999,35d18c9d-66bf-4c83-a956-0b54e46014fd,
62610110,2024-02-01 23:00:00.000,,2253f698-7e4b-434c-8cf1-3cf91b7216ee.binning_data.json,10011,62610110,2024-02-02 00:04:34.320,2024-02-02 00:04:34.320,100.0,1.0,46.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-01 23:59:59.999,2253f698-7e4b-434c-8cf1-3cf91b7216ee,
62610110,2024-02-02 00:00:00.000,,a0674c76-123e-4727-b259-ed22f12f79f7.binning_data.json,10011,62610110,2024-02-02 01:03:53.047,2024-02-02 01:03:53.047,90.0,0.0,40.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 00:59:59.999,a0674c76-123e-4727-b259-ed22f12f79f7,
62610110,2024-02-02 01:00:00.000,,d0355d2a-20a0-4a68-a0f4-a77938a12ed0.binning_data.json,10011,62610110,2024-02-02 02:02:00.263,2024-02-02 02:02:00.263,7.0,0.0,1.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 01:59:59.999,d0355d2a-20a0-4a68-a0f4-a77938a12ed0,
62610110,2024-02-02 02:00:00.000,,9b3854e5-68ee-4fa0-9cb7-8bdd03566bde.binning_data.json,10011,62610110,2024-02-02 03:21:34.547,2024-02-02 03:21:34.547,1.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 02:59:59.999,9b3854e5-68ee-4fa0-9cb7-8bdd03566bde,
62610110,2024-02-02 03:00:00.000,,b2881610-e345-4b2b-bc31-a1c33fc98a21.binning_data.json,10011,62610110,2024-02-02 04:01:47.864,2024-02-02 04:01:47.864,0.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 03:59:59.999,b2881610-e345-4b2b-bc31-a1c33fc98a21,
62610110,2024-02-02 04:00:00.000,,78ccf731-b602-4dc2-8a88-2e0805ee5271.binning_data.json,10011,62610110,2024-02-02 05:58:26.392,2024-02-02 05:58:26.392,100.0,0.0,74.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 04:59:59.999,78ccf731-b602-4dc2-8a88-2e0805ee5271,
62610110,2024-02-02 05:00:00.000,,fbbee7b7-ab5c-4bcf-b8fe-186c8e256a60.binning_data.json,10011,62610110,2024-02-02 06:09:39.473,2024-02-02 06:09:39.473,7.0,0.0,3.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 05:59:59.999,fbbee7b7-ab5c-4bcf-b8fe-186c8e256a60,
62610110,2024-02-02 06:00:00.000,,936b20b9-00d9-43b7-a154-e039c271b4c4.binning_data.json,10011,62610110,2024-02-02 07:01:43.635,2024-02-02 07:01:43.635,64.0,3.0,26.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 06:59:59.999,936b20b9-00d9-43b7-a154-e039c271b4c4,
62610110,2024-02-02 07:00:00.000,,30c686b7-f351-47d0-917b-42954dd017a8.binning_data.json,10011,62610110,2024-02-02 08:08:57.878,2024-02-02 08:08:57.878,94.0,1.0,34.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 07:59:59.999,30c686b7-f351-47d0-917b-42954dd017a8,
62610110,2024-02-02 08:00:00.000,,1b4889d5-d5db-4cdd-96cf-0a243a234f1b.binning_data.json,10011,62610110,2024-02-02 09:07:42.459,2024-02-02 09:07:42.459,92.0,1.0,24.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 08:59:59.999,1b4889d5-d5db-4cdd-96cf-0a243a234f1b,
62610110,2024-02-02 09:00:00.000,,92941805-35d3-4379-8922-6208213b4ff8.binning_data.json,10011,62610110,2024-02-02 10:06:53.745,2024-02-02 10:06:53.745,97.0,29.0,73.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 09:59:59.999,92941805-35d3-4379-8922-6208213b4ff8,
62610110,2024-02-02 10:00:00.000,,95f750f3-0a42-4060-94a2-236bbabbe810.binning_data.json,10011,62610110,2024-02-02 11:01:26.674,2024-02-02 11:01:26.674,100.0,0.0,41.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 10:59:59.999,95f750f3-0a42-4060-94a2-236bbabbe810,
62610110,2024-02-02 11:00:00.000,,fb5b24c8-0384-4f0e-9cd9-061e4512a822.binning_data.json,10011,62610110,2024-02-02 12:04:39.757,2024-02-02 12:04:39.757,32.0,2.0,8.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 11:59:59.999,fb5b24c8-0384-4f0e-9cd9-061e4512a822,
62610110,2024-02-02 12:00:00.000,,b8c794d2-fa6b-48d6-bbe6-8d72778b7fed.binning_data.json,10011,62610110,2024-02-02 23:41:22.134,2024-02-02 23:41:22.134,4.0,0.0,1.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 12:59:59.999,b8c794d2-fa6b-48d6-bbe6-8d72778b7fed,
62610110,2024-02-02 23:00:00.000,,b99707f2-d078-4371-8cc8-63bf184d1108.binning_data.json,10011,62610110,2024-02-03 00:16:40.566,2024-02-03 00:16:40.566,99.0,0.0,49.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-02 23:59:59.999,b99707f2-d078-4371-8cc8-63bf184d1108,
62610110,2024-02-03 00:00:00.000,,a323fdb8-7d3c-4f5d-a8c7-a0812d327644.binning_data.json,10011,62610110,2024-02-03 01:25:54.583,2024-02-03 01:25:54.583,81.0,0.0,45.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 00:59:59.999,a323fdb8-7d3c-4f5d-a8c7-a0812d327644,
62610110,2024-02-03 01:00:00.000,,8ae468b1-04e1-45ed-a0d2-21c48d6f304a.binning_data.json,10011,62610110,2024-02-03 02:07:26.144,2024-02-03 02:07:26.144,95.0,0.0,3.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 01:59:59.999,8ae468b1-04e1-45ed-a0d2-21c48d6f304a,
62610110,2024-02-03 02:00:00.000,,a365f01f-4c82-46f5-9fc0-7c5325fd75fc.binning_data.json,10011,62610110,2024-02-03 03:10:54.813,2024-02-03 03:10:54.813,3.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 02:59:59.999,a365f01f-4c82-46f5-9fc0-7c5325fd75fc,
62610110,2024-02-03 03:00:00.000,,d68ef860-1cfd-419b-b9ba-54bc05bc9970.binning_data.json,10011,62610110,2024-02-03 04:16:28.624,2024-02-03 04:16:28.624,72.0,0.0,4.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 03:59:59.999,d68ef860-1cfd-419b-b9ba-54bc05bc9970,
