com.samsung.shealth.tracker.heart_rate,6272009,3
source,tag_id,com.samsung.health.heart_rate.create_sh_ver,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.modify_sh_ver,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,21207,,0,2020-12-08 18:27:12.869,,,,2020-12-08 18:27:48.196,2020-12-08 18:27:48.196,60.0,60.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2020-12-08 18:27:16.968,f161e402-d467-4521-84af-60d0136bd9e8,60.0,
,20000,,0,2020-12-08 22:08:01.037,,,,2020-12-08 22:08:11.046,2020-12-08 22:08:11.046,62.0,62.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2020-12-08 22:08:04.830,a90cecaf-74c3-474c-a0f0-d43ce5bc968c,62.0,
,20000,,0,2020-12-11 17:20:41.159,,,,2020-12-11 17:20:50.437,2020-12-11 17:20:50.437,62.0,62.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2020-12-11 17:20:45.185,6dd7ec43-94ce-434b-9b32-1ff821966ba2,62.0,
,20000,,0,2020-12-17 21:03:57.128,,,,2020-12-17 21:04:06.162,2020-12-17 21:04:06.162,98.0,98.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2020-12-17 21:04:01.473,921d5e27-b5a7-4dda-8140-ce08311d96a7,98.0,
,20000,,0,2020-12-22 01:27:36.346,,,,2020-12-22 01:27:44.582,2020-12-22 01:27:44.582,60.0,60.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2020-12-22 01:27:40.372,7e562e38-3de2-4639-8967-afce5f1a9d89,60.0,
,20000,,0,2020-12-26 04:41:32.725,,,,2020-12-26 04:41:39.882,2020-12-26 04:41:39.882,60.0,60.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2020-12-26 04:41:36.725,7265588e-ab53-4d0a-a6cd-c1a8a386c5a7,60.0,
,20000,,0,2022-10-23 03:30:04.681,,,,2022-10-23 03:30:15.536,2022-10-23 03:30:15.536,96.0,96.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 03:30:07.155,f10b526a-9f38-42c6-af46-40dd92dff40d,96.0,
,20000,,0,2022-10-23 03:30:37.207,,,,2022-10-23 03:31:49.646,2022-10-23 03:31:49.646,93.0,93.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 03:30:39.846,1e6d3bb4-2db1-4c1a-bd10-4081f160e86b,93.0,
,20000,,0,2022-10-23 03:32:07.231,,,,2022-10-23 03:32:13.592,2022-10-23 03:32:13.592,92.0,92.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 03:32:09.787,a4251297-a011-439a-838d-4408422fa91b,92.0,
,20000,,0,2022-10-23 03:36:35.315,,,,2022-10-23 03:36:40.875,2022-10-23 03:36:40.875,93.0,93.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 03:36:37.923,b32eb202-d15d-408e-91eb-2c940064f213,93.0,
,20000,,0,2022-10-23 03:55:48.265,,,,2022-10-23 03:55:59.655,2022-10-23 03:55:59.655,51.0,51.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 03:55:53.462,35b416b4-305d-470f-9979-c8261bfd34ad,51.0,
,20000,,0,2022-10-23 04:09:19.137,,,,2022-10-23 04:09:27.543,2022-10-23 04:09:27.543,55.0,55.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 04:09:23.513,1139e023-fa64-410c-ab8d-db5e62d69be4,55.0,
,20000,,0,2022-10-23 04:09:38.528,,,,2022-10-23 04:09:45.869,2022-10-23 04:09:45.869,56.0,56.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 04:09:43.006,ad8d67b9-ef9a-424c-a153-01216f90d70c,56.0,
,20000,,0,2022-10-23 04:10:20.909,,,,2022-10-23 04:10:26.555,2022-10-23 04:10:26.555,81.0,81.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 04:10:23.815,1525b013-713c-495e-9af1-1f6d630b4966,81.0,
,20000,,0,2022-10-23 04:10:39.400,,,,2022-10-23 04:10:49.797,2022-10-23 04:10:49.797,91.0,91.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2022-10-23 04:10:42.041,e6e0db7f-2c0f-4ed5-a6ca-ebdf4b803631,91.0,
,21301,,0,2022-11-20 07:47:33.970,,,,2022-11-20 07:47:46.993,2022-11-20 07:47:46.993,64.0,64.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-11-20 07:47:37.993,33e4d474-6582-4c9d-97dc-f59d10e0ac7b,64.0,
,21000,,0,2022-11-23 04:06:13.054,,,,2022-11-23 04:06:24.680,2022-11-23 04:06:24.680,84.0,84.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2022-11-23 04:06:15.842,202b8466-8893-4bc3-9008-2b724aa8157e,84.0,
