com.samsung.shealth.tracker.pedometer_step_count,6272009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
12039,4,0,17,2024-08-04 13:31:00.000,,,2024-08-04 13:31:30.034,2024-08-04 13:31:26.175,17,1.0125294,12.190001,0.75000006,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 13:32:00.000,7afc064e-ac6b-46b3-af61-a2d929fd654f,
22890,4,0,34,2024-08-04 13:37:00.000,,,2024-08-04 13:39:23.333,2024-08-04 13:39:23.333,34,1.1388888,26.07,1.56,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 13:38:00.000,12c73ad9-5282-4773-aa38-ce32430e74d8,
11306,4,0,20,2024-08-04 13:38:00.000,,,2024-08-04 13:39:23.357,2024-08-04 13:39:23.357,20,1.3611112,15.39,0.96,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 13:39:00.000,47b58ad7-2066-4854-85b8-914c04888174,
35279,4,0,56,2024-08-04 18:34:00.000,,,2024-08-04 18:35:00.731,2024-08-04 18:35:00.731,56,1.1944444,42.14,2.62,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:35:00.000,892da2c8-38d6-4616-a35d-7a27f3f7dec8,
12993,4,0,20,2024-08-04 18:28:00.000,,,2024-08-04 18:35:00.429,2024-08-04 18:35:00.429,20,1.1944444,15.52,1.02,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:29:00.000,3ff2aaf2-51a7-43fe-8a66-8914ffd512a6,
6934,4,0,13,2024-08-04 18:29:00.000,,,2024-08-04 18:36:25.108,2024-08-04 18:36:25.108,13,1.5833334,10.98,0.62,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:30:00.000,6192f7e7-bb2b-40bd-8230-241f9072f4f7,
10667,4,0,18,2024-08-04 18:31:00.000,,,2024-08-04 18:36:25.312,2024-08-04 18:36:25.312,18,1.3611112,14.52,0.88,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:32:00.000,199b44c6-8c73-43e9-84a9-a75e17c216a6,
10217,4,0,19,2024-08-04 18:33:00.000,,,2024-08-04 18:36:25.450,2024-08-04 18:36:25.450,19,1.5277778,15.610001,0.8800001,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:34:00.000,5afcd11b-58d9-4e68-bb41-ccad3975f522,
30119,4,0,48,2024-08-04 18:34:00.000,,,2024-08-04 18:36:25.570,2024-08-04 18:36:25.570,48,1.25,37.649998,2.4299998,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:35:00.000,7c49d9c4-8606-4f19-b263-7b282a56c89e,
9792,4,0,15,2024-08-04 18:36:00.000,,,2024-08-04 18:38:19.942,2024-08-04 18:38:19.942,15,1.1111112,10.88,0.71,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:37:00.000,57183248-997a-4e0c-92f9-d8b545fc861c,
8220,4,0,13,2024-08-04 18:37:00.000,,,2024-08-04 18:38:19.980,2024-08-04 18:38:19.980,13,1.1666665,9.59,0.63,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:38:00.000,16fc533a-bd6d-4706-b630-b0fe2e60f18f,
8010,4,0,11,2024-08-04 18:38:00.000,,,2024-08-04 18:38:20.006,2024-08-04 18:38:20.006,11,1.0,8.01,0.53,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:39:00.000,eb18a262-0112-420e-b985-15f68503659d,
6326,4,0,10,2024-08-04 18:39:00.000,,,2024-08-04 18:39:06.807,2024-08-04 18:39:03.367,10,1.1775689,7.45,0.48000005,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:40:00.000,11168874-89be-4a93-a479-932f26a6bbb9,
13936,4,0,26,2024-08-04 18:42:00.000,,,2024-08-04 18:55:00.518,2024-08-04 18:55:00.518,26,1.4444444,20.13,1.17,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:43:00.000,63da325a-7758-4500-85f1-0b0528ce2f24,
17017,4,0,24,2024-08-04 18:43:00.000,,,2024-08-04 18:55:00.545,2024-08-04 18:55:00.545,24,1.0277778,17.49,1.15,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:44:00.000,677ebc85-fcc7-4131-b7e4-b63a248e0e26,
33527,4,0,48,2024-08-04 18:44:00.000,,,2024-08-04 18:55:00.574,2024-08-04 18:55:00.574,48,1.0555556,35.39,2.32,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:45:00.000,1a1744a0-015e-49bd-812c-ae8bafd883cb,
24696,4,0,37,2024-08-04 18:45:00.000,,,2024-08-04 18:55:00.608,2024-08-04 18:55:00.608,37,1.1111112,27.44,1.8,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:46:00.000,7bc71d1d-c398-4bc6-8fd2-957c2e180245,
4097,4,0,8,2024-08-04 18:46:00.000,,,2024-08-04 18:55:00.641,2024-08-04 18:55:00.641,8,1.5277778,6.26,0.36,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:47:00.000,bfd07678-0a95-4e2e-9fce-a66a7f891c62,
15231,4,0,24,2024-08-04 18:47:00.000,,,2024-08-04 18:55:00.666,2024-08-04 18:55:00.666,24,1.1666666,17.77,1.18,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:48:00.000,bcd30ace-616a-470e-a376-133dac69c3f2,
34419,4,0,58,2024-08-04 18:48:00.000,,,2024-08-04 18:55:00.693,2024-08-04 18:55:00.693,58,1.2777779,43.98,2.8,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:49:00.000,7477a138-fa8f-40ef-98ae-b55e974f5237,
41779,4,0,59,2024-08-04 18:49:00.000,,,2024-08-04 18:55:00.718,2024-08-04 18:55:00.718,59,1.0277778,42.94,2.87,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:50:00.000,c412ace0-5ad8-448f-83b0-a486471cb18b,
36728,4,0,56,2024-08-04 18:50:00.000,,,2024-08-04 18:55:00.745,2024-08-04 18:55:00.745,56,1.1388888,41.83,2.65,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:51:00.000,9fb6c424-455d-46d7-b44f-5981e9ac2dc2,
44621,4,0,66,2024-08-04 18:51:00.000,,,2024-08-04 18:55:00.781,2024-08-04 18:55:00.781,66,1.0833333,48.34,3.24,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:52:00.000,cf186d6f-afb8-429e-91d8-b6a3cec6e9f9,
36341,4,0,52,2024-08-04 18:52:00.000,,,2024-08-04 18:55:00.817,2024-08-04 18:55:00.817,52,1.0555556,38.36,2.46,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:53:00.000,108adeb5-7e59-4ef5-afa1-7b03d02089a3,
33251,4,0,51,2024-08-04 18:53:00.000,,,2024-08-04 18:55:00.848,2024-08-04 18:55:00.848,51,1.1388888,37.87,2.47,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:54:00.000,4d23e7f5-ae1d-4643-8f64-3d20cd433be3,
28571,4,0,44,2024-08-04 18:54:00.000,,,2024-08-04 18:55:00.876,2024-08-04 18:55:00.876,44,1.1388888,32.54,2.09,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:55:00.000,cf51bcf9-c7fd-4508-8a1c-41b887c1df48,
44517,4,0,69,2024-08-04 18:55:00.000,,,2024-08-04 18:56:09.438,2024-08-04 18:56:09.438,69,1.1388888,50.7,3.34,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:56:00.000,73dc5eb2-c869-4d7a-8596-932dd331544b,
18702,4,0,29,2024-08-04 18:56:00.000,,,2024-08-04 19:00:54.447,2024-08-04 19:00:54.447,29,1.1388888,21.3,1.4,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 18:57:00.000,d0aaf2ed-5222-4918-8918-3a64f48670f6,
